Team,Conference,L,W
Air Force,Mountain West Conference,3,3
Akron,Mid-American Conference,5,1
Alabama,Southeastern Conference,NA,12
Appalachian State,Sun Belt Conference,3,9
Arizona,Pac-12 Conference,5,NA
Arizona State,Pac-12 Conference,2,2
Arkansas,Southeastern Conference,7,3
Arkansas State,Sun Belt Conference,7,4
Army,Independent,3,9
Auburn,Southeastern Conference,5,6
Ball State,Mid-American Conference,1,7
Baylor,Big 12 Conference,7,2
Boise State,Mountain West Conference,2,5
Boston College,Atlantic Coast Conference,5,6
Bowling Green State,Mid-American Conference,5,NA
Buffalo,Mid-American Conference,1,6
BYU,Independent,1,11
California,Pac-12 Conference,3,1
Central Michigan,Mid-American Conference,3,3
Charlotte,Conference USA,4,2
Cincinnati,American Athletic Conference,1,9
Clemson,Atlantic Coast Conference,2,10
Coastal Carolina,Sun Belt Conference,1,11
Colorado,Pac-12 Conference,2,4
Colorado State,Mountain West Conference,3,1
Duke,Atlantic Coast Conference,9,2
East Carolina,American Athletic Conference,6,3
Eastern Michigan,Mid-American Conference,4,2
Florida,Southeastern Conference,4,8
Florida Atlantic,Conference USA,4,5
Florida International,Conference USA,5,NA
Florida State,Atlantic Coast Conference,6,3
Fresno State,Mountain West Conference,3,3
Georgia,Southeastern Conference,2,8
Georgia Southern,Sun Belt Conference,5,8
Georgia State,Sun Belt Conference,4,6
Georgia Tech,Atlantic Coast Conference,7,3
Hawaii,Mountain West Conference,4,5
Houston,American Athletic Conference,5,3
Illinois,Big Ten Conference,6,2
Indiana,Big Ten Conference,2,6
Iowa,Big Ten Conference,2,6
Iowa State,Big 12 Conference,3,9
Kansas,Big 12 Conference,9,NA
Kansas State,Big 12 Conference,6,4
Kent State,Mid-American Conference,1,3
Kentucky,Southeastern Conference,6,5
Liberty,Independent,1,10
Louisiana,Sun Belt Conference,1,10
Louisiana Tech,Conference USA,5,5
Louisiana-Monroe,Sun Belt Conference,10,NA
Louisville,Atlantic Coast Conference,7,4
LSU,Southeastern Conference,5,5
Marshall,Conference USA,3,7
Maryland,Big Ten Conference,3,2
Massachusetts,Independent,4,NA
Memphis,American Athletic Conference,3,8
Miami (FL),Atlantic Coast Conference,3,8
Miami (OH),Mid-American Conference,1,2
Michigan,Big Ten Conference,4,2
Michigan State,Big Ten Conference,5,2
Middle Tennessee State,Conference USA,6,3
Minnesota,Big Ten Conference,4,3
Mississippi State,Southeastern Conference,7,4
Missouri,Southeastern Conference,5,5
Navy,American Athletic Conference,7,3
Nebraska,Big Ten Conference,5,3
Nevada,Mountain West Conference,2,7
Nevada-Las Vegas,Mountain West Conference,6,NA
New Mexico,Mountain West Conference,5,2
North Carolina,Atlantic Coast Conference,4,8
North Carolina State,Atlantic Coast Conference,4,8
North Texas,Conference USA,6,4
Northern Illinois,Mid-American Conference,6,NA
Northwestern,Big Ten Conference,2,7
Notre Dame,Atlantic Coast Conference,2,10
Ohio,Mid-American Conference,1,2
Ohio State,Big Ten Conference,NA,7
Oklahoma,Big 12 Conference,2,9
Oklahoma State,Big 12 Conference,3,8
Ole Miss,Southeastern Conference,5,5
Oregon,Pac-12 Conference,3,4
Oregon State,Pac-12 Conference,5,2
Penn State,Big Ten Conference,5,4
Pitt,Atlantic Coast Conference,5,6
Purdue,Big Ten Conference,4,2
Rice,Conference USA,3,2
Rutgers,Big Ten Conference,6,3
San Diego State,Mountain West Conference,4,4
San Jose State,Mountain West Conference,1,7
SMU,American Athletic Conference,3,7
South Alabama,Sun Belt Conference,7,4
South Carolina,Southeastern Conference,8,2
South Florida,American Athletic Conference,8,1
Southern Mississippi,Conference USA,7,3
Stanford,Pac-12 Conference,2,4
Syracuse,Atlantic Coast Conference,10,1
Temple,American Athletic Conference,6,1
Tennessee,Southeastern Conference,7,3
Texas,Big 12 Conference,3,7
Texas A&M,Southeastern Conference,1,9
Texas Christian,Big 12 Conference,4,6
Texas State,Sun Belt Conference,10,2
Texas Tech,Big 12 Conference,6,4
Toledo,Mid-American Conference,2,4
Troy,Sun Belt Conference,6,5
Tulane,American Athletic Conference,6,6
Tulsa,American Athletic Conference,3,6
UAB,Conference USA,3,6
UCF,American Athletic Conference,4,6
UCLA,Pac-12 Conference,4,3
USC,Pac-12 Conference,1,5
Utah,Pac-12 Conference,2,3
Utah State,Mountain West Conference,5,1
UTEP,Conference USA,5,3
UTSA,Conference USA,5,7
Vanderbilt,Southeastern Conference,9,NA
Virginia,Atlantic Coast Conference,5,5
Virginia Tech,Atlantic Coast Conference,6,5
Wake Forest,Atlantic Coast Conference,5,4
Washington,Pac-12 Conference,1,3
Washington State,Pac-12 Conference,3,1
West Virginia,Big 12 Conference,4,6
Western Kentucky,Conference USA,7,5
Western Michigan,Mid-American Conference,2,4
Wisconsin,Big Ten Conference,3,4
Wyoming,Mountain West Conference,4,2
